question,ground_truths,question_type
"我想休年假怎么弄？","员工遇到休假或请假事项时，应先查阅制度说明并在公司指定系统中提交申请，说明背景和所需事项；直属主管审核业务必要性，归口部门按制度进行合规审核，流程完成后应留痕归档。",模糊问题
"这个审批被退回了，我能不能换个人直接批？","不可以。审批被退回后，申请人应根据退回原因补充材料或调整方案，不得重复提交相同内容，也不得绕过原审批链路。",否定类
"客户催得很急，我能不能先承诺今天一定上线？","不能擅自承诺。涉及客户承诺时，应先确认合同边界和服务等级，不得擅自承诺超出合同范围的交付内容、响应时间或赔偿条件。",模糊问题
"如果线上故障很紧急，先处理后补记录可以吗？","紧急事故、客户重大风险或系统中断等特殊情况可以先处理，但事后两个工作日内必须补齐系统记录、审批附件和处理结论。",应急流程
"员工请假的流程、审批权限和后续归档要求分别是什么？","请假类事项应在指定系统中发起并说明原因和范围；直属主管判断业务必要性，归口部门按制度审核；流程完成后应归档，必要时复盘并沉淀经验。",跨分块问题
"权限开通、长期未回收和涉及客户数据时分别有什么风险控制要求？","权限开通应遵循最小权限原则，只授权完成任务所需人员和时长；权限长期不回收会增加数据泄露和误操作概率；涉及客户数据时必须保留完整操作日志并合规审批。",跨分块问题
"如果制度、客户合同和监管要求冲突，应该怎么处理？","若制度条款与法律法规、客户合同或监管要求存在冲突，应优先遵循更严格的要求，并及时通知法务、人力资源或信息安全负责人确认。",冲突处理
"报销材料不全、预算不足、审批链路错误分别属于什么问题？","这些都属于流程常见异常，包括材料缺失、审批链路错误、超期提交、预算不足、权限范围过大、交接不完整和重复申请，发现异常后应暂停执行并补充说明。",跨分块问题
"知识库没写清楚的问题，助手应该怎么答？","回答用户问题时，应优先引用与问题最相关的条款；如果知识库没有明确依据，应说明信息不足，不应编造制度。",无答案处理
"公司有没有宠物报销制度？","知识库没有明确说明宠物报销制度。应说明信息不足，不能编造制度。",无答案问题
"我的电脑中病毒了，应该找谁，后续要留什么记录？","网络安全或设备故障类事项应通过指定流程处理；紧急情况可先同步风险，但事后两个工作日内必须补齐系统记录、审批附件和处理结论。",模糊问题
"项目已经交付了，还需要复盘吗？为什么？","需要。流程完成后应进行归档，必要时组织复盘，并将可复用经验更新到团队知识库，便于后续审计、复用和持续改进。",原因类
