question,ground_truths,question_type
"公司的核心价值观是什么？","公司核心价值观包括客户第一、结果导向、持续学习和开放协作。",简单事实
"新员工入职当天需要完成哪些事项？","新员工入职当天由人力资源部完成合同签署、工牌发放、系统账号开通和办公设备领取，直属主管负责安排岗位导师并说明岗位职责。",简单事实
"试用期一般多久？主要从哪些方面评估？","试用期一般为三个月，主要从工作质量、沟通协作、学习能力和价值观匹配度四个方面进行评估。",简单事实
"员工离职需要提前多久申请？","正式员工离职需至少提前三十天提交书面申请，试用期员工需至少提前三天提交申请。",简单事实
"离职流程包含哪些环节？","离职流程包括主管审批、工作交接、资产归还、账号权限回收和薪资结算。",流程类
"公司的标准工作时间是什么？","公司实行标准工作制，工作时间为周一至周五 9:00 至 18:00，中午休息一小时。",简单事实
"如果外出拜访客户无法打卡应该怎么办？","因外出拜访客户、参加会议或临时出差无法打卡的，应在两个工作日内提交补卡申请并说明原因。",方法类
"请假审批规则是什么？","一天以内请假由直属主管审批，超过一天需部门负责人审批。病假需提供医院证明，事假应提前安排工作交接。",规则类
"薪酬由哪些部分组成？","员工薪酬由基本工资、岗位工资、绩效奖金和专项补贴组成。",简单事实
"公司每月什么时候发工资？","公司每月十日发放上月工资，如遇节假日则提前至最近工作日发放。",简单事实
"绩效考核会影响哪些结果？","绩效考核结果会影响绩效奖金、调薪、晋升和培训资源分配。",简单事实
"晋升是否只看工作年限？","晋升不是只看工作年限，而是看职责承担能力和实际贡献。",否定类
"员工对外沟通时需要注意什么？","对外沟通代表公司形象，不得随意承诺超出职责范围的事项。",规范类
"哪些信息属于公司保密范围？","客户资料、产品方案、源代码、报价信息和内部经营数据属于需要保密的信息，不得传播给无关人员。",简单事实
"员工能否私自安装未经授权的软件？","员工不得私自安装未经授权的软件，也不得关闭安全防护工具。",否定类
"设备故障应该如何处理？","设备故障应通过工单系统提交报修，行政或 IT 人员会按优先级处理。",方法类
"员工离岗或离职时设备和文件如何处理？","员工离岗或离职时必须归还公司设备，并确认本地重要工作文件已同步到公司指定系统。",流程类
"新员工培训包含哪些内容？","新员工培训内容包括公司制度、信息安全、产品介绍和岗位基础技能。",简单事实
"培训结束后员工需要做什么？","培训结束后应提交学习总结，并在团队内分享可复用经验。",流程类
"主管在绩效面谈中应和员工讨论什么？","主管应在绩效面谈中与员工讨论能力短板、成长目标和下一阶段行动计划。",简单事实
