question,ground_truths,question_type
"公司治理与组织管理制度中，所有流程为什么必须在指定系统中留痕？","所有流程应在公司指定系统中发起和留痕，因为系统记录是后续审计、复盘和责任界定的重要依据，口头沟通不能替代审批记录。",制度依据
"跨部门协作时，发起部门需要提前说明哪些信息？","跨部门协作时，发起部门应提前说明背景、目标、截止时间、影响范围和所需支持，接收部门应在一个工作日内确认是否承接。",流程类
"紧急场景是否可以先处理后补审批？","原则上不可以先执行后审批；只有紧急事故、客户重大风险或系统中断等特殊情况可以先处理，但事后必须补齐审批、说明和处理结论。",例外规则
"涉及客户数据、源代码、合同文本和员工个人信息时，制度要求是什么？","涉及客户数据、源代码、合同文本和员工个人信息的事项必须保留完整操作日志，并遵循合规审批和最小权限原则。",安全合规
"财务报销与预算管理中，费用审批常见异常有哪些？","常见异常包括材料缺失、审批链路错误、超期提交、预算不足、权限范围过大、交接不完整和重复申请。",风险类
"预算申请完成后为什么需要归档和复盘？","流程完成后需要归档，必要时组织复盘，并将可复用经验更新到团队知识库，以便后续审计、复用和责任追溯。",流程类
"IT账号权限管理为什么要遵循最小权限原则？","涉及个人信息、敏感商业数据或公司核心资产时，应遵循最小权限原则，只授权完成任务所必需的人员和时长，以降低数据泄露和误操作风险。",安全合规
"权限长期不回收会带来什么风险？","权限长期不回收会增加数据泄露和误操作概率，因此应定期盘点并及时回收不再需要的权限。",风险类
"研发上线发布时，如果制度条款和客户合同冲突怎么办？","若制度条款与法律法规、客户合同或监管要求存在冲突，应优先遵循更严格的要求，并及时通知法务、人力资源或信息安全负责人确认。",冲突处理
"研发故障复盘的核心目的是什么？","故障复盘应记录关键节点、执行结果和异常情况，沉淀处理经验，将常见问题、判断标准和注意事项更新到知识库，供后续团队复用。",流程类
"客户服务SLA问题中，能否擅自承诺合同外的响应时间？","不能。涉及客户承诺时，应先确认合同边界和服务等级，不得擅自承诺超出合同范围的交付内容、响应时间或赔偿条件。",否定类
"客户问题升级时，接收部门多久需要确认是否承接？","跨部门协作场景下，接收部门应在一个工作日内确认是否能够承接。",简单事实
"合同审批中，申请人需要承担什么责任？","申请人负责保证提交材料真实、完整、及时，确保业务背景、目标、范围、预算或资源需求清晰，并准备必要附件。",职责类
"法务合规审查中，最终审批人承担什么责任？","最终审批人对审批结果承担管理责任，职能部门负责制度合规性审核，主管负责业务必要性和资源合理性判断。",职责类
"项目变更控制中，如果材料不完整会有什么影响？","材料不完整会影响处理效率，也会导致后续稽核无法证明事项真实性。",风险类
"项目交付验收完成后，负责人还需要做什么？","流程完成后，负责人应进行归档，必要时组织复盘，并将可复用经验更新到团队知识库。",流程类
"固定资产管理中，为什么不能绕过系统私自处理？","任何人不得绕过系统私自处理，因为系统记录是审计、复盘和责任界定的重要依据，绕过系统会导致责任无法追溯。",制度依据
"行政访客管理如果涉及敏感区域或数据访问，应遵循什么原则？","如果涉及个人信息、敏感商业数据或公司核心资产，应遵循最小权限原则，只授权完成任务所必需的人员和时长。",安全合规
"新人培训结束后，为什么要把经验更新到知识库？","培训和流程结束后应沉淀处理经验，将常见问题、判断标准和注意事项更新到知识库，供后续团队复用。",知识沉淀
"岗位认证审批被退回后应该怎么办？","申请人应根据退回原因补充材料或调整方案，不得重复提交相同内容，也不得绕过原审批链路。",流程类
"历史制度与新制度不一致时应该以哪个为准？","历史制度与新制度不一致时，应以最新发布且仍在有效期内的制度为准，特殊项目可按合同或项目批复执行。",冲突处理
"制度执行中如果只看形式不看业务目标，会产生什么问题？","制度执行只看形式不看业务目标会造成流程空转，因此应在合规前提下保证效率。",风险类
"采购付款事项为什么要保留完整操作日志？","采购付款涉及资金事项，必须保留完整操作日志，以便审计、复盘和责任界定。",财务合规
"供应商准入流程中，直属主管主要审核什么？","直属主管主要进行必要性审核，判断事项是否符合当前业务目标和团队资源安排。",职责类
"数据备份事项如果涉及客户资料，应注意什么？","涉及客户资料时应遵循最小权限原则，使用合规流程审批并保留完整操作日志，不得传播给无关人员。",安全合规
"网络安全应急处理中，紧急处理后还需要补什么材料？","紧急处理后两个工作日内必须补齐系统记录、审批附件和处理结论。",应急流程
"会议机制中，流程完成后为什么要更新团队知识库？","流程完成后更新团队知识库可以沉淀常见问题、判断标准和注意事项，方便后续团队复用。",知识沉淀
"组织架构事项涉及多个部门时，谁负责解释制度？","由制度归口部门负责解释；涉及多个部门时，由归口部门牵头会同法务、人力资源、财务或信息安全共同确认。",职责类
"差旅报销被退回时，申请人可以绕过原审批链路吗？","不可以。审批被退回后，申请人应根据退回原因补充材料或调整方案，不得绕过原审批链路。",否定类
"知识库维护制度要求回答用户问题时如何处理信息不足？","回答用户问题时应优先引用与问题最相关的条款；如果知识库没有明确依据，应说明信息不足，不应编造制度。",RAG原则
